file;v11_key;construct_label_verbatim;ES_source;table_no
staging_Wang_et_al_2020.csv;Wang et al (2020);TCO2;b with significance stars only;Table 7
staging_Wang_et_al_2020.csv;Wang et al (2020);TCO2;b with significance stars only;Table 7
staging_Wang_et_al_2020.csv;Wang et al (2020);DCO2;b with significance stars only;Table 7
staging_Wang_et_al_2020.csv;Wang et al (2020);DCO2;b with significance stars only;Table 7
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_2;b with significance stars only;Table 9
staging_Zhang_et_al_2023.csv;Zhang et al (2023);carbonemi_1;b with significance stars only;Table 9
