"cluster_id_dropped","k_es","k_study","est_z","se_z","ci_lb_z","ci_ub_z","df","sigma2_1","sigma2_2","sigma2_3","cooks_d_cluster","status","note"
"Safiullah et al (2021)",2680,114,-0.058462557425857,0.0139822352659537,-0.0861701774459629,-0.0307549374057511,110.678308454962,0.0199184049855987,1.61093403051231e-09,0.0120045531831081,0.000176426094491685,"ok",""
"Safiullah et al (2025)",2657,114,-0.0590663155972758,0.0139533210374341,-0.0867166918463969,-0.0314159393481547,110.658921101083,0.0198167864007665,2.43037196050581e-10,0.012096187328832,0.000915607182284141,"ok",""
"Salvi et al (2021)",2708,114,-0.0592714982868948,0.0139837549439391,-0.0869820930727291,-0.0315609035010605,110.691563999426,0.0199548106355113,2.96901934146023e-09,0.011890823214076,0.0020300675718065,"ok",""
"Schneider (2010)",2703,114,-0.0592490683865056,0.014051030926877,-0.0870927881531808,-0.0314053486198303,110.760307271939,0.0202156504331687,2.53306991251888e-09,0.0116006578444735,0.00188691910062486,"ok",""
"Seltzer et al (2022)",2701,114,-0.0586691621013712,0.0139974353102593,-0.0864068740922284,-0.0309314501105139,110.688742364007,0.019981669506649,1.748796842852e-09,0.0119340698117307,2.61556587130717e-06,"ok",""
"Shad et al (2022)",2711,114,-0.0573671291609447,0.0138889610037935,-0.0848898126585252,-0.0298444456633641,110.715225986296,0.0196969912387205,1.85786785913613e-09,0.0118767406414608,0.00851599209159669,"ok",""
"Shi et al (2025)",2698,114,-0.0589383313147757,0.0139936815967448,-0.0866686101322907,-0.0312080524972606,110.686831209895,0.0199651902954661,1.25228570483179e-09,0.0119469815224406,0.000442222663656206,"ok",""
"Srivisal et al (2021)",2705,114,-0.0594979356164666,0.0139684790885084,-0.0871782787811733,-0.0318175924517599,110.684531066195,0.0199010951831478,1.96775725276332e-09,0.0119002890308096,0.00376828677500514,"ok",""
"Sze et al (2021)",2695,114,-0.0590680378957061,0.0139908267778177,-0.086792659711541,-0.0313434160798712,110.686762937075,0.0199522811349466,2.18301893013654e-09,0.0119520753513624,0.00092313942489302,"ok",""
"Tan et al (2021)",2707,114,-0.0584361167132447,0.0139952954834766,-0.086169579217391,-0.0307026542090983,110.692045603277,0.0199860646933417,1.85765577006382e-09,0.0119055077677188,0.000230717491776575,"ok",""
"Tan et al (2026)",2688,114,-0.0590127371997669,0.0139805609891637,-0.0867170385906436,-0.0313084358088903,110.678609112315,0.0199119597017353,1.95203638093614e-09,0.0120041243584512,0.000696699181588392,"ok",""
"Tang et al (2023)",2700,114,-0.0580936362130406,0.0139784490134065,-0.0857937316717697,-0.0303935407543115,110.686121382021,0.0199322727953507,2.99795758536418e-09,0.0119133506505599,0.00159107140523487,"ok",""
"Temiz (2022)",2700,114,-0.0587361791802741,0.0139986656412049,-0.0864763278191563,-0.0309960305413919,110.689251644647,0.0199812464323425,1.78663142057562e-09,0.0119399075430355,4.16073705777894e-05,"ok",""
"Trinh et al (2024)",2609,114,-0.0588520293951049,0.0138952059051517,-0.086387370925357,-0.0313166878648527,110.612328525897,0.0196040029750149,3.03798374818049e-09,0.0123470155603285,0.000219194222561843,"ok",""
"Truong, Kim (2019)",2703,114,-0.0588296594510848,0.0139984575300773,-0.0865693937959243,-0.0310899251062453,110.689935984848,0.0199860303004811,2.86161875685924e-09,0.0119264415549791,0.000174027389588948,"ok",""
"Wang & Wijethilake (2026)",2705,114,-0.0589577480348413,0.0139970956607788,-0.0866947465243235,-0.031220749545359,110.703348959707,0.0200072406391246,1.66395830900964e-09,0.0118677932985692,0.000503076945886623,"ok",""
"Wang et al (2020)",2695,114,-0.0581822423631438,0.0139949773365516,-0.0859150583716345,-0.0304494263546531,110.697842049268,0.019991892643212,1.69093767041765e-09,0.0118617314122537,0.00112212802487417,"ok",""
"Wang et al (2022a)",2712,114,-0.0587962100719883,0.0139584032747946,-0.0864562906972515,-0.0311361294467252,110.79182168761,0.0199327917468317,2.45572362639692e-09,0.0118832618134156,0.00011620101363495,"ok",""
