"analysis_id","spec","subset","term","metric","estimator","rho","k_es","k_study","k_cluster","est_z","se_z","t_stat","df","p","ci_lb_z","ci_ub_z","pi_lb_z","pi_ub_z","est_r","ci_lb_r","ci_ub_r","pi_lb_r","pi_ub_r","sigma2_cluster","sigma2_study","sigma2_esid","pct_cluster","pct_study","pct_esid","pct_sampling","typical_v","value","ms_input","ms_label","note"
"B6","loso_post","Ali et al (2026)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2696,114,113,0.00964641430395397,0.0182475265379117,0.528642294828958,14.2700965019855,0.605178883784763,-0.0294212558646519,0.0487140844725599,,,,,,,,0.0207193412811045,2.99809205357617e-09,0.0119150394599766,,,,,,,FALSE,,"paris_mid refit without study 'Ali et al (2026)' (whole-study drop; 9 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Almutairi (2026)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2689,114,113,0.0106730226250106,0.0181510136318503,0.588012484673708,14.2239284817043,0.565743591632635,-0.0281996101660449,0.0495456554160662,,,,,,,,0.0207450955812245,3.13535846323454e-09,0.0118933361820655,,,,,,,FALSE,,"paris_mid refit without study 'Almutairi (2026)' (whole-study drop; 16 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Altavilla et al (2024)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2623,114,113,0.00905854538060258,0.0182653659691807,0.495941083024951,15.003509240506,0.627121959413262,-0.0298723675305843,0.0479894582917895,,,,,,,,0.0203795338667781,1.71182450629567e-09,0.0122908255027417,,,,,,,FALSE,,"paris_mid refit without study 'Altavilla et al (2024)' (whole-study drop; 82 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Boermans et al (2023)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2644,114,113,0.00886870503507645,0.0182779972036671,0.485212079652639,14.8074077866491,0.634626227765304,-0.0301341035880413,0.0478715136581942,,,,,,,,0.0204606097605429,2.6829572113525e-09,0.0121905647692918,,,,,,,FALSE,,"paris_mid refit without study 'Boermans et al (2023)' (whole-study drop; 61 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Boubaker et al (2026)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2689,114,113,0.010437519061196,0.0181770453778988,0.574214282035449,14.2864120587336,0.574753154873958,-0.0284751679311248,0.0493502060535167,,,,,,,,0.0207169934285854,1.37317452425483e-09,0.0119308338421584,,,,,,,FALSE,,"paris_mid refit without study 'Boubaker et al (2026)' (whole-study drop; 16 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Brinette et al (2026)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2693,114,113,0.0137190761662608,0.0175132193788504,0.783355468202974,14.2274668067158,0.446263374588861,-0.0237867813998588,0.0512249337323804,,,,,,,,0.0206006819182834,1.92987928869411e-09,0.0118051803479331,,,,,,,FALSE,,"paris_mid refit without study 'Brinette et al (2026)' (whole-study drop; 12 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Cicchini et al (2026)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2685,114,113,0.00980084891792457,0.0182419559036406,0.537269631046996,14.1387677576556,0.59943564112875,-0.029288260336498,0.0488899581723472,,,,,,,,0.0207811245161812,2.07094484741586e-09,0.011854627370845,,,,,,,FALSE,,"paris_mid refit without study 'Cicchini et al (2026)' (whole-study drop; 20 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Du et al (2022)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2703,114,113,0.00856964259847162,0.0182723116450526,0.468996083524656,14.3683638852487,0.646109333215785,-0.0305265178355484,0.0476658030324916,,,,,,,,0.0206477647942095,2.5193400377806e-09,0.0118829546177651,,,,,,,FALSE,,"paris_mid refit without study 'Du et al (2022)' (whole-study drop; 2 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Ferriani (2022)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2675,114,113,0.00854624384390218,0.0182892557931623,0.467282208776221,14.3047809836866,0.647336445661188,-0.0306020443636433,0.0476945320514477,,,,,,,,0.0206698754258748,3.05917273525895e-09,0.0119134628962754,,,,,,,FALSE,,"paris_mid refit without study 'Ferriani (2022)' (whole-study drop; 30 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
"B6","loso_post","Gonzales Sanches et al (2026)","diff","Fisher_z","3LMA-RVE_CR2",0.6,2688,114,113,0.00995248651369807,0.018224344047225,0.546109450518936,14.3293240209304,0.593392079443671,-0.0290507341777873,0.0489557072051835,,,,,,,,0.0206956252724103,2.66450968946862e-09,0.0119564762912912,,,,,,,FALSE,,"paris_mid refit without study 'Gonzales Sanches et al (2026)' (whole-study drop; 17 defined ES removed); k_es = remaining complete cases on pp_mid_lag0; k_study/k_cluster = remaining sample after drop; difference of Fisher-z means; no tanh transform of differences"
