"cluster_id","study","esid","zi","vi","rstudent_t","flag_rstudent","mad_center","mad_scale","flag_mad","flag_both","hatvalue"
"Ali et al (2023)","Ali et al (2023)",58,-0.214272037748021,0.000326477309826967,-0.868499140445353,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,0.00093391270552892
"Ali et al (2023)","Ali et al (2023)",59,-0.0491384405517654,0.000326583932070542,0.0534558613654203,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000933882827157607
"Ali et al (2023)","Ali et al (2023)",60,-0.205736335199904,0.000326583932070542,-0.820842201838887,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,0.000933882827157611
"Ali et al (2023)","Ali et al (2023)",61,-0.120933118440868,0.000967117988394584,-0.343975670788946,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000799541128987868
"Ali et al (2023)","Ali et al (2023)",62,-0.0491384405517654,0.000326583932070542,0.0534558613654203,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000933882827157604
"Ali et al (2023)","Ali et al (2023)",63,-0.105347441266745,0.000500751126690035,-0.259667327326489,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000889953613012903
"Ali et al (2023)","Ali et al (2023)",64,-0.084836152532654,0.00133333333333333,-0.143663952963158,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000742923128721171
"Ali et al (2023)","Ali et al (2023)",65,-0.0507304630364421,0.000432900432900433,0.0444803727147184,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000906053810613231
"Ali et al (2023)","Ali et al (2023)",66,-0.172354043007803,0.000342465753424658,-0.634308448795882,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,0.000929481951072655
"Ali et al (2026)","Ali et al (2026)",67,0.0370168982157009,1.49385279574551e-05,0.536600454727067,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00104834426933543
"Ali et al (2026)","Ali et al (2026)",68,-0.0415407209677327,0.000122174709835064,0.0956460262338213,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00100922457819044
"Ali et al (2026)","Ali et al (2026)",69,-0.0371555560913643,0.000134934556739981,0.120185453184744,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00100602612739359
"Ali et al (2026)","Ali et al (2026)",70,-0.0351929271867634,0.000119545726240287,0.131208197349203,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00100990161679615
"Ali et al (2026)","Ali et al (2026)",71,-0.0284962428097862,0.000132117849121416,0.168687674917642,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00100672028684349
"Ali et al (2026)","Ali et al (2026)",72,-0.0285698191956489,0.000128617363344051,0.168284821678874,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00100759211615031
"Ali et al (2026)","Ali et al (2026)",73,-0.0253244076758331,0.000143802128271498,0.186417584879737,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00100388136417353
"Ali et al (2026)","Ali et al (2026)",74,-0.0558333774692596,0.0001478633742422,0.0155813475832854,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00100291854443374
"Ali et al (2026)","Ali et al (2026)",75,-0.0502800009444105,0.000159540523292916,0.0466673930711789,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00100021287287467
"Almutairi (2026)","Almutairi (2026)",76,-0.224707214119978,0.00202020202020202,-0.903101962987277,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,0.000436295558757757
"Almutairi (2026)","Almutairi (2026)",77,-0.154431730480306,0.00202020202020202,-0.520908600184338,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,0.000436295558757751
"Almutairi (2026)","Almutairi (2026)",78,0.0997631219830033,0.00202020202020202,0.861530629523135,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,0.000436295558757756
"Almutairi (2026)","Almutairi (2026)",79,-0.13181064847087,0.00033500837520938,-0.408342846064563,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000851366918901892
"Almutairi (2026)","Almutairi (2026)",80,0.0810193732406617,0.00033500837520938,0.779614944341039,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000851366918901891
"Almutairi (2026)","Almutairi (2026)",81,-0.144682568587569,0.00202020202020202,-0.467887763111196,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000436295558757757
"Almutairi (2026)","Almutairi (2026)",82,0.0841454811037342,0.00202020202020202,0.776594057370868,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000436295558757758
"Almutairi (2026)","Almutairi (2026)",83,-0.106449199247615,0.00202020202020202,-0.259955505053072,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000436295558757757
"Almutairi (2026)","Almutairi (2026)",84,-0.101992322946325,0.00202020202020202,-0.235716774090783,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000436295558757758
"Almutairi (2026)","Almutairi (2026)",85,-0.0886099193480117,0.00202020202020202,-0.162936544503888,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000436295558757758
"Almutairi (2026)","Almutairi (2026)",86,-0.0832523898111095,0.00202020202020202,-0.133799609061031,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000436295558757751
"Almutairi (2026)","Almutairi (2026)",87,-0.0796793690718746,0.00202020202020202,-0.114367728397005,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000436295558757755
"Almutairi (2026)","Almutairi (2026)",88,0.0823592322634702,0.00202020202020202,0.766879539366784,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000436295558757754
"Almutairi (2026)","Almutairi (2026)",89,-0.0939649133698911,0.00033500837520938,-0.197098513684743,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000851366918901894
"Almutairi (2026)","Almutairi (2026)",90,-0.0993172221389884,0.00033500837520938,-0.226973607657733,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000851366918901892
"Almutairi (2026)","Almutairi (2026)",91,-0.0970874293942832,0.00033500837520938,-0.214527526786431,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000851366918901894
"Altavilla et al (2024)","Altavilla et al (2024)",92,-0.0490178096457391,3.25873013803981e-06,0.0539584139375262,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918244981291
"Altavilla et al (2024)","Altavilla et al (2024)",93,-0.0761289875227934,3.25873013803981e-06,-0.098033701434183,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918244981304
"Altavilla et al (2024)","Altavilla et al (2024)",94,-0.00584192942772942,3.25961178023697e-06,0.296013306770295,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918020532561
"Altavilla et al (2024)","Altavilla et al (2024)",95,-0.0473925820183118,3.25961178023697e-06,0.0630698499406954,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918020532555
"Altavilla et al (2024)","Altavilla et al (2024)",96,-0.00882280464849075,3.25961178023697e-06,0.279301767119069,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918020532549
"Altavilla et al (2024)","Altavilla et al (2024)",97,-0.0472707890209194,3.25961178023697e-06,0.0637526522569377,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918020532562
"Altavilla et al (2024)","Altavilla et al (2024)",98,-0.00509608214649144,3.27441568052181e-06,0.300194644865812,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117914256206791
"Altavilla et al (2024)","Altavilla et al (2024)",99,-0.0431962376512852,3.27441568052181e-06,0.0865955970148363,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117914256206786
"Altavilla et al (2024)","Altavilla et al (2024)",100,-0.0137703626154951,3.27441568052181e-06,0.251564448363376,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117914256206788
"Altavilla et al (2024)","Altavilla et al (2024)",101,-0.0435716933520189,3.27441568052181e-06,0.0844906979895075,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117914256206783
"Altavilla et al (2024)","Altavilla et al (2024)",102,-0.00356767980453545,3.25880447499031e-06,0.30876332872124,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918226055396
"Altavilla et al (2024)","Altavilla et al (2024)",103,-0.0183165182692409,3.25880447499031e-06,0.226077612702891,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918226055409
"Altavilla et al (2024)","Altavilla et al (2024)",104,-0.00773267567081786,3.25880447499031e-06,0.285413309244035,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918226055412
"Altavilla et al (2024)","Altavilla et al (2024)",105,-0.018210817107998,3.25880447499031e-06,0.22667020012747,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918226055412
"Altavilla et al (2024)","Altavilla et al (2024)",106,-0.0102374541724614,3.25873013803981e-06,0.271370888230611,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918244981294
"Altavilla et al (2024)","Altavilla et al (2024)",107,-0.0616887791091197,3.25873013803981e-06,-0.017078243388216,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918244981299
"Altavilla et al (2024)","Altavilla et al (2024)",108,-0.00623038747349315,3.25961178023697e-06,0.293835512815887,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00011791802053256
"Altavilla et al (2024)","Altavilla et al (2024)",109,-0.0399522742216566,3.25961178023697e-06,0.104782095356112,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918020532563
"Altavilla et al (2024)","Altavilla et al (2024)",110,-0.0121878263875918,3.27441568052181e-06,0.260436544211575,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117914256206795
"Altavilla et al (2024)","Altavilla et al (2024)",111,-0.0409898599420789,3.27441568052181e-06,0.098965105003506,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117914256206793
"Altavilla et al (2024)","Altavilla et al (2024)",112,-0.00742835883341827,3.25880447499031e-06,0.287119386346787,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00011791822605541
"Altavilla et al (2024)","Altavilla et al (2024)",113,-0.0126361133139475,3.25880447499031e-06,0.257923398533863,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918226055409
"Altavilla et al (2024)","Altavilla et al (2024)",114,-0.0120501617521398,3.25873013803981e-06,0.261208391387608,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918244981297
"Altavilla et al (2024)","Altavilla et al (2024)",115,-0.0737166336624573,3.25873013803981e-06,-0.0845094359846939,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918244981296
"Altavilla et al (2024)","Altavilla et al (2024)",116,-0.00867003866593833,3.25961178023697e-06,0.280158211815916,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.00011791802053257
"Altavilla et al (2024)","Altavilla et al (2024)",117,-0.0477563183507936,3.25961178023697e-06,0.0610306521572645,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918020532572
"Altavilla et al (2024)","Altavilla et al (2024)",118,-0.0136936950233787,3.27441568052181e-06,0.251994266154409,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117914256206802
"Altavilla et al (2024)","Altavilla et al (2024)",119,-0.0436836317441816,3.27441568052181e-06,0.0838631432284536,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117914256206797
"Altavilla et al (2024)","Altavilla et al (2024)",120,-0.00768777135669985,3.25880447499031e-06,0.285665054177987,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918226055414
"Altavilla et al (2024)","Altavilla et al (2024)",121,-0.0185288595379828,3.25880447499031e-06,0.224887173883712,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918226055404
"Altavilla et al (2024)","Altavilla et al (2024)",122,-0.0173887598882185,3.25873013803981e-06,0.23127886093704,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918244981294
"Altavilla et al (2024)","Altavilla et al (2024)",123,-0.0235636252942923,3.25873013803981e-06,0.196661004809178,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918244981298
"Altavilla et al (2024)","Altavilla et al (2024)",124,-0.00315157990033579,3.25961178023697e-06,0.31109608597875,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918020532567
"Altavilla et al (2024)","Altavilla et al (2024)",125,-0.0149773288103409,3.25961178023697e-06,0.244797949633237,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918020532566
"Altavilla et al (2024)","Altavilla et al (2024)",126,-0.00506456308666304,3.25961178023697e-06,0.300371418891789,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918020532572
"Altavilla et al (2024)","Altavilla et al (2024)",127,-0.0153489389710517,3.25961178023697e-06,0.242714609179312,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117918020532567
"Altavilla et al (2024)","Altavilla et al (2024)",128,-0.00294244200757361,3.27441568052181e-06,0.312268492780386,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.0001179142562068
"Altavilla et al (2024)","Altavilla et al (2024)",129,-0.0125689422724151,3.27441568052181e-06,0.258299912771609,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000117914256206795
"Altavilla et al (2024)","Altavilla et al (2024)",130,-0.00850751068406358,3.27441568052181e-06,0.281069319055912,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.0001179142562068
